zcta,label,state,pop_2011,pop_2024,pop_change,pop_pct,housing_units_2011,housing_units_2024,hu_change,hu_pct,density_2024,comparable,comparable_hu,boundary_changed,same_area_share
59424,"Coffee Creek, MT",MT,90,103,13,14.4,50,48,-2,-4.0,1.3,False,False,False,0.842
72354,"Lepanto, AR",AR,2530,2403,-127,-5.0,1021,994,-27,-2.6,40.6,True,True,True,0.685
92389,"Tecopa, CA",CA,98,201,103,105.1,162,173,11,6.8,4.5,False,False,False,1.0
86437,"Valentine, AZ",AZ,111,55,-56,-50.5,74,29,-45,-60.8,0.6,False,False,False,0.753
21817,"Crisfield, MD",MD,5138,4417,-721,-14.0,2996,2554,-442,-14.8,305.4,True,True,False,0.992
21840,"Nanticoke, MD",MD,189,576,387,204.8,145,328,183,126.2,109.3,False,False,False,0.993
17120,"Harrisburg, PA",PA,0,0,0,,0,0,0,,0.0,False,False,False,1.0
13087,"Cortland County, NY",NY,240,116,-124,-51.7,104,123,19,18.3,122.2,False,False,True,0.113
17237,"Mont Alto, PA",PA,2235,1759,-476,-21.3,750,687,-63,-8.4,715.9,True,True,False,0.989
05487,"Addison County, VT",VT,1589,1598,9,0.6,666,677,11,1.7,34.5,True,True,False,0.959
75229,"Dallas, TX",TX,32711,33656,945,2.9,11773,12571,798,6.8,2704.2,True,True,False,0.982
87745,"San Miguel County, NM",NM,1426,1553,127,8.9,584,834,250,42.8,8.7,True,True,True,0.666
80610,"Ault, CO",CO,2672,4132,1460,54.6,1163,1591,428,36.8,23.0,True,True,False,0.914
77433,"Houston, TX",TX,44962,116550,71588,159.2,14708,35892,21184,144.0,1976.5,True,True,False,0.972
76092,"Southlake, TX",TX,26254,31520,5266,20.1,8168,9749,1581,19.4,1391.1,True,True,False,0.968
23224,"Richmond, VA",VA,34644,40575,5931,17.1,14710,19113,4403,29.9,3509.6,True,True,False,0.99
92397,"Wrightwood, CA",CA,4757,5854,1097,23.1,2871,3144,273,9.5,123.0,True,True,True,0.217
74528,"Blanco, OK",OK,174,144,-30,-17.2,137,70,-67,-48.9,4.8,False,False,False,0.862
03260,"Merrimack County, NH",NH,748,976,228,30.5,432,431,-1,-0.2,45.6,False,True,False,0.975
03269,"Belknap County, NH",NH,2939,3066,127,4.3,1647,1567,-80,-4.9,62.0,True,True,False,0.957
01243,"Hampshire County, MA",MA,249,173,-76,-30.5,155,99,-56,-36.1,12.1,False,False,False,1.0
05669,"Washington County, VT",VT,392,768,376,95.9,370,377,7,1.9,15.9,False,False,True,0.729
05680,"Wolcott, VT",VT,2119,2003,-116,-5.5,1069,988,-81,-7.6,30.9,True,True,False,0.976
40807,"Benham, KY",KY,500,619,119,23.8,289,321,32,11.1,3733.6,False,False,False,0.856
72157,"Springfield, AR",AR,1483,1483,0,0.0,797,674,-123,-15.4,27.9,True,True,False,0.926
84766,"Sevier County, UT",UT,190,151,-39,-20.5,52,88,36,69.2,1.2,False,False,True,0.41
24712,"Athens, WV",WV,2045,2913,868,42.4,741,972,231,31.2,245.9,True,True,True,0.629
78626,"Georgetown, TX",TX,27211,48072,20861,76.7,9413,17865,8452,89.8,542.7,True,True,False,0.978
92603,"Irvine, CA",CA,18805,18387,-418,-2.2,7169,7793,624,8.7,1841.1,True,True,False,0.998
74531,"Calvin, OK",OK,973,834,-139,-14.3,450,472,22,4.9,8.1,False,True,False,0.938
92405,"San Bernardino, CA",CA,31080,31217,137,0.4,9648,9963,315,3.3,6230.4,True,True,False,0.928
